Lobby ID,Game ID,Room Name,Map,Region,Members,Time,Leader Name,Leader ID,Has Password
29610055253368064,3601153186,"",xiuxian_map_24,US West,19,10m,"dj139634",830763762,Yes
29610055243061471,3601153186,"",xiuxian_map_24,US West,1,31m,"hn237433",811043707,No
29610055251305129,3601153186,"",xiuxian_map_24,US West,19,14m,"ur237389",811317366,No
29610055246967103,3601153186,"",xiuxian_map_24,US West,19,23m,"rr244204",811987344,Yes
29610055244263217,3601153186,"",xiuxian_map_24,US West,19,28m,"tj138558",829793307,Yes
29610055252404550,3601153186,"",xiuxian_map_24,US West,19,12m,"mx130973",831495164,Yes
29610055246096799,3601153186,"",xiuxian_map_24,US West,19,25m,"ns231001",812233591,Yes
29610055245667809,3601153186,"",xiuxian_map_24,US West,19,26m,"ts238208",813397843,Yes
29610055256367860,3601153186,"",xiuxian_map_24,US West,19,3m,"wn139575",829739241,Yes
29610055246545966,3601153186,"",xiuxian_map_24,US West,10,24m,"grigorevaguzel90",1711340976,Yes
29610055243297284,3601153186,"",xiuxian_map_24,US West,1,30m,"qg139704",831478725,Yes
29610055235807599,3601153186,"",xiuxian_map_24,US West,1,46m,"po718707",1929120926,Yes
29610055244942821,3601153186,"",xiuxian_map_24,US West,19,27m,"bi139725",829777465,No
29610055249486164,3601153186,"",xiuxian_map_24,US West,19,18m,"wi244175",811996395,Yes
29610055249466065,3601153186,"",xiuxian_map_24,US West,19,18m,"uh236339",811027811,Yes
29610055239709487,3601153186,"",xiuxian_map_24,US West,1,38m,"rr855384",1929293296,Yes
29610055244214356,3601153186,"",xiuxian_map_24,US West,19,29m,"on237441",811164563,Yes
29610055254287158,3601153186,"",xiuxian_map_24,US West,10,8m,"ve681893",1928404663,Yes
29610055250081073,3601153186,"",xiuxian_map_24,US West,19,16m,"nz139491",829772149,Yes
29610055197743672,3601153186,"",secret_map,Reg:17,21,2h8m,"pulcsibabo1986",1523585214,Yes
29610055245091405,3601153186,"",xiuxian_map_24,US West,10,27m,"sazonovaaina89",1711659114,Yes
29610055241024728,3601153186,"",xiuxian_map_24,US West,1,35m,"co706009",1929541053,Yes
29610055254855457,3601153186,"",xiuxian_map_24,US West,19,7m,"jb238174",811076499,Yes
29610055249179856,3601153186,"",xiuxian_map_24,US West,10,18m,"fomin.ioil",1711328528,No
29610055253256601,3601153186,"",xiuxian_map_24,US West,19,10m,"lr139534",830587140,Yes
29610055255784380,3601153186,"",xiuxian_map_24,US West,19,5m,"og139568",829785597,Yes
29610055212141784,3601153186,"",secret_map,Reg:17,21,1h37m,"ochckmv",1751826921,Yes
29610055251149233,3601153186,"",xiuxian_map_24,US West,19,14m,"ju139505",831551103,No
29610055243419305,3601153186,"",xiuxian_map_24,US West,1,30m,"ziminagafii19691668",1710814808,Yes
29610055242450828,3601153186,"",xiuxian_map_24,US West,1,32m,"gx502856",831358782,Yes
29610055257247949,3601153186,"",xiuxian_map_24,US West,19,2m,"yb241081",810411089,Yes
29610055249602432,3601153186,"",xiuxian_map_24,US West,19,17m,"li139484",829797695,Yes
29610055250047123,3601153186,"",xiuxian_map_24,US West,19,17m,"pt236342",811078556,Yes
29610055233442288,3601153186,"",xiuxian_map_24,US West,1,52m,"az229643",832212046,Yes
29610055248920305,3601153186,"",xiuxian_map_24,US West,19,19m,"hj138523",831545909,Yes
29610055255673184,3601153186,"",xiuxian_map_24,US West,19,5m,"ex237511",811083603,Yes
29610055248713651,3601153186,"",xiuxian_map_24,US West,19,19m,"kq242811",812029088,No
29610055250665536,3601153186,"",xiuxian_map_24,US West,19,15m,"yn139499",832327566,No
29610055244726956,3601153186,"",xiuxian_map_24,US West,19,28m,"ma228091",812123646,Yes
29610055256092005,3601153186,"",xiuxian_map_24,US West,19,4m,"gb139669",831386274,No
29610055256833285,3601153186,"",xiuxian_map_24,US West,19,2m,"al237423",812807696,Yes
29610055190107130,3601153186,"",secret_map,Reg:17,21,2h24m,"semen.kozlov.26.06.1978",1518877867,Yes
29610055243756746,3601153186,"",xiuxian_map_24,US West,19,30m,"by241089",811095008,Yes
29610055256668362,3601153186,"",xiuxian_map_24,US West,19,3m,"lp130967",829818789,Yes
29610055245306241,3601153186,"",xiuxian_map_24,US West,19,26m,"jg231351",810415403,Yes
29610055253999861,3601153186,"",xiuxian_map_24,US West,10,8m,"kn616928",831511363,No
29610055250456978,3601153186,"",xiuxian_map_24,US West,19,16m,"rq228100",811460332,Yes
29610055243660894,3601153186,"",xiuxian_map_24,US West,1,30m,"rq244186",812002275,Yes
29610055248540694,3601153186,"",xiuxian_map_24,US West,19,20m,"wg236240",812300952,Yes
29610055256465132,3601153186,"",xiuxian_map_24,US West,19,3m,"hu228108",811945500,No
29610055252104668,3601153186,"",xiuxian_map_24,US West,18,12m,"mv138529",831504597,No
29610055255971477,3601153186,"",xiuxian_map_24,US West,19,4m,"oa244234",811485931,No
29610055253222613,3601153186,"",xiuxian_map_24,US West,19,10m,"fh237400",812095621,No
29610055253451452,3601153186,"",xiuxian_map_24,US West,19,9m,"bm138531",829858236,Yes
29610055258140086,3601153186,"",xiuxian_map_24,US West,19,16s,"ju138556",830579160,Yes
29610055243764844,3601153186,"",xiuxian_map_24,US West,19,30m,"zd135044",1930416293,Yes
29610055253993209,3601153186,"",xiuxian_map_24,US West,19,8m,"gz236275",812917249,Yes
29610055243095658,3601153186,"",xiuxian_map_24,US West,1,31m,"pq139601",829793822,Yes
29610055253607949,3601153186,"",xiuxian_map_24,US West,19,9m,"ld236273",811097247,Yes
29610055249696374,3601153186,"",xiuxian_map_24,US West,19,17m,"dr139485",831589070,No
29610055253080744,3601153186,"",xiuxian_map_24,US West,19,10m,"do139631",829744570,Yes
29610055159233571,3601153186,"",secret_map,Reg:17,21,3h23m,"empercolde1979",1523481474,Yes
29610055244992658,3601153186,"",xiuxian_map_24,US West,19,27m,"kx236312",812981327,No
29610055246052872,3601153186,"",xiuxian_map_24,US West,10,25m,"keirashapirova916099",1711449224,Yes
29610055253320577,3601153186,"",xiuxian_map_24,US West,19,10m,"wt236272",811089613,Yes
29610055247833253,3601153186,"",xiuxian_map_24,US West,19,21m,"ss246479",810458552,Yes
29610055243923562,3601153186,"",xiuxian_map_24,US West,19,29m,"by238198",811001340,Yes
29610055251594352,3601153186,"",xiuxian_map_24,US West,19,13m,"hm237390",811622086,Yes
29610055256172721,3601153186,"",xiuxian_map_24,US West,19,4m,"zz139572",829838171,Yes
29610055257371711,3601153186,"",xiuxian_map_24,US West,19,1m,"ng137249",829783081,Yes
29610055255081020,3601153186,"",xiuxian_map_24,US West,19,6m,"rc246526",811996446,Yes
29610055249778217,3601153186,"",xiuxian_map_24,US West,19,17m,"pj241076",811103149,Yes
29610055254601406,3601153186,"",xiuxian_map_24,US West,19,7m,"nr241137",812062780,Yes
29610055257220701,3601153186,"",xiuxian_map_24,US West,19,2m,"el231022",812083984,Yes
29610055155894280,3601153186,"",secret_map,Reg:17,21,3h29m,"obcacalli1978",1523681276,Yes
29610055186975853,3464793431,"",dotaland _TEAM,Reg:17,21,2h31m,"lzldeui",1751300416,Yes
29610055203274223,3464793431,"",dotaland _TEAM,Reg:17,21,1h56m,"sl713477",806601398,Yes
29610055237547162,3464793431,"",dotaland _TEAM,Reg:17,21,43m,"nunwdalcihewin",1689224011,Yes
29610055244635999,3464793431,"",dotaland _TEAM,Reg:17,21,28m,"udawatsabuka5",1637711726,Yes
29610055244261364,3464793431,"",dotaland _TEAM,Reg:17,21,28m,"sergey_p_1976",1555298804,Yes
29610055252444923,3464793431,"",dotaland _TEAM,Reg:17,21,12m,"ibfkvvypfri",1772673627,Yes
29610055251092947,3464793431,"",dotaland _TEAM,Reg:17,21,14m,"adjtkivswai",1772940450,Yes
29610055220942728,3464793431,"",dotaland _TEAM,Reg:17,21,1h18m,"lxiykfzhl",1651498313,Yes
29610055144910329,3464793431,"",dotaland _TEAM,Reg:17,21,3h48m,"izhvdzht",1726331144,Yes
29610055172404503,3464793431,"",dotaland _TEAM,Reg:17,21,2h59m,"migesmerca1981786",1702604369,Yes
